5,1,184864,189913,151505
5,2,138104,171779,117363
5,3,138824,203096,126154
5,4,125920,177178,121372
5,5,198488,324647,194207
5,6,202051,316331,199695
5,7,214583,345348,214407
5,8,381094,387047,209294
5,9,380777,319386,206844
5,10,410143,430040,237590
5,11,623241,356754,211572
5,12,426612,361124,230204
5,13,574385,369848,216530
5,14,435578,387720,235160
5,15,251814,380263,251650
5,16,436545,603208,421566
5,17,433048,674539,432891
5,18,285200,432256,284916
5,19,302132,476192,301973
5,20,380186,581962,379971
5,21,485523,730731,485263
5,22,315602,512575,315406
5,23,355868,554219,355597
5,24,388121,594360,388110
5,25,429474,654028,429369
10,1,160040,164606,123373
10,2,140397,165055,132243
10,3,141217,185351,131915
10,4,213280,301738,204238
10,5,222328,352569,197912
10,6,299904,351854,217200
10,7,614530,224445,149466
10,8,445757,290771,174806
10,9,665991,332246,192385
10,10,463902,317079,195842
10,11,706267,334761,200489
10,12,365809,314214,205695
10,13,221846,344546,221688
10,14,242389,381521,242365
10,15,242448,370672,242455
10,16,373980,570035,373770
10,17,407556,663061,407353
10,18,320859,506445,320649
10,19,330274,509741,330187
10,20,421132,667714,420756
10,21,433859,701164,433672
10,22,571156,747313,511335
10,23,378917,590722,378793
10,24,430531,684292,430348
10,25,430772,690510,430613
10,26,459692,731291,459593
10,27,411261,637129,411162
10,28,473173,762961,472972
10,29,450175,717577,449944
10,30,522227,798511,522084
10,31,538600,862396,538618
10,32,640912,902820,587411
10,33,552190,889809,552040
10,34,540891,867595,540800
10,35,625101,947744,625250
10,36,605500,989524,605232
10,37,600519,925300,600448
10,38,600341,936935,600250
10,39,734070,1159009,711330
10,40,918018,1302658,918026
10,41,707224,1076252,706941
10,42,2129905,1367504,1063701
10,43,538514,837594,538467
10,44,643798,981430,644058
10,45,854737,1358410,854698
10,46,722619,1136977,711447
10,47,739787,1209106,732438
10,48,720081,1135961,720030
10,49,727183,1172509,727006
10,50,686036,1094139,685834
10,51,722539,1152299,722513
10,52,817944,1343148,817879
10,53,815367,1300005,815138
10,54,784606,1213413,784671
10,55,843372,1361008,843391
10,56,906123,1491752,902392
10,57,732735,1120136,732846
